STRUCTURE,STRUCTURE_ID,ACTION,FREQ,REF_AREA,INDICATOR,SEX,AGE,URBANISATION,UNIT_MEASURE,COMP_BREAKDOWN_1,COMP_BREAKDOWN_2,COMP_BREAKDOWN_3,TIME_PERIOD,AGG_METHOD,UNIT_TYPE,DECIMALS,DATABASE_ID,TIME_FORMAT,COMMENT_TS,UNIT_MULT,DATA_SOURCE,OBS_CONF,OBS_VALUE,OBS_STATUS,FREQ_LABEL,REF_AREA_LABEL,INDICATOR_LABEL,SEX_LABEL,AGE_LABEL,URBANISATION_LABEL,UNIT_MEASURE_LABEL,COMP_BREAKDOWN_1_LABEL,COMP_BREAKDOWN_2_LABEL,COMP_BREAKDOWN_3_LABEL,AGG_METHOD_LABEL,UNIT_TYPE_LABEL,DECIMALS_LABEL,DATABASE_ID_LABEL,TIME_FORMAT_LABEL,UNIT_MULT_LABEL,OBS_STATUS_LABEL,OBS_CONF_LABEL
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,VUT,WB_WDI_GC_AST_TOTL_GD_ZS,_T,_T,_T,PT_GDP,_Z,_Z,_Z,2011,_Z,RATIO,2,WB_WDI,P1Y,Net acquisition of financial assets (% of GDP),0,WB_WDI,PU,-0.7967491473768231,A,Annual,Vanuatu,Net acquisition of financial assets (% of GDP),Total,All age ranges or no breakdown by age,Total,Percentage of GDP,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,VUT,WB_WDI_GC_AST_TOTL_CN,_T,_T,_T,XDC,_Z,_Z,_Z,2011,_Z,CUR,2,WB_WDI,P1Y,Net acquisition of financial assets (current LCU),0,WB_WDI,PU,-5.49E8,A,Annual,Vanuatu,Net acquisition of financial assets (current LCU),Total,All age ranges or no breakdown by age,Total,Domestic currency,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Currency,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,VUT,WB_WDI_TT_PRI_MRCH_XD_WD,_T,_T,_T,IX,_Z,_Z,_Z,2011,_Z,IX,2,WB_WDI,P1Y,Net barter terms of trade index (2015 = 100),0,WB_WDI,PU,90.2,A,Annual,Vanuatu,Net barter terms of trade index (2015 = 100),Total,All age ranges or no breakdown by age,Total,Index,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Index,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,VUT,WB_WDI_DC_DAC_AUSL_CD,_T,_T,_T,USD,_Z,_Z,_Z,2011,_Z,CUR,2,WB_WDI,P1Y,"Net bilateral aid flows from DAC donors, Australia (current US$)",0,WB_WDI,PU,6.1779998779296905E7,A,Annual,Vanuatu,"Net bilateral aid flows from DAC donors, Australia (current US$)",Total,All age ranges or no breakdown by age,Total,US dollars,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Currency,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,VUT,WB_WDI_DC_DAC_CANL_CD,_T,_T,_T,USD,_Z,_Z,_Z,2011,_Z,CUR,2,WB_WDI,P1Y,"Net bilateral aid flows from DAC donors, Canada (current US$)",0,WB_WDI,PU,1639999.98569489,A,Annual,Vanuatu,"Net bilateral aid flows from DAC donors, Canada (current US$)",Total,All age ranges or no breakdown by age,Total,US dollars,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Currency,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,VUT,WB_WDI_DC_DAC_CECL_CD,_T,_T,_T,USD,_Z,_Z,_Z,2011,_Z,CUR,2,WB_WDI,P1Y,"Net bilateral aid flows from DAC donors, European Union institutions (current US$)",0,WB_WDI,PU,1870000.00476837,A,Annual,Vanuatu,"Net bilateral aid flows from DAC donors, European Union institutions (current US$)",Total,All age ranges or no breakdown by age,Total,US dollars,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Currency,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,VUT,WB_WDI_DC_DAC_FRAL_CD,_T,_T,_T,USD,_Z,_Z,_Z,2011,_Z,CUR,2,WB_WDI,P1Y,"Net bilateral aid flows from DAC donors, France (current US$)",0,WB_WDI,PU,2160000.08583069,A,Annual,Vanuatu,"Net bilateral aid flows from DAC donors, France (current US$)",Total,All age ranges or no breakdown by age,Total,US dollars,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Currency,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,VUT,WB_WDI_DC_DAC_JPNL_CD,_T,_T,_T,USD,_Z,_Z,_Z,2011,_Z,CUR,2,WB_WDI,P1Y,"Net bilateral aid flows from DAC donors, Japan (current US$)",0,WB_WDI,PU,7389999.8664856,A,Annual,Vanuatu,"Net bilateral aid flows from DAC donors, Japan (current US$)",Total,All age ranges or no breakdown by age,Total,US dollars,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Currency,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,VUT,WB_WDI_DC_DAC_KORL_CD,_T,_T,_T,USD,_Z,_Z,_Z,2011,_Z,CUR,2,WB_WDI,P1Y,"Net bilateral aid flows from DAC donors, Korea, Rep. (current US$)",0,WB_WDI,PU,70000.0002980232,A,Annual,Vanuatu,"Net bilateral aid flows from DAC donors, Korea, Rep. (current US$)",Total,All age ranges or no breakdown by age,Total,US dollars,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Currency,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,VUT,WB_WDI_DC_DAC_LUXL_CD,_T,_T,_T,USD,_Z,_Z,_Z,2011,_Z,CUR,2,WB_WDI,P1Y,"Net bilateral aid flows from DAC donors, Luxembourg (current US$)",0,WB_WDI,PU,29999.999329447703,A,Annual,Vanuatu,"Net bilateral aid flows from DAC donors, Luxembourg (current US$)",Total,All age ranges or no breakdown by age,Total,US dollars,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Currency,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,VUT,WB_WDI_DC_DAC_NZLL_CD,_T,_T,_T,USD,_Z,_Z,_Z,2011,_Z,CUR,2,WB_WDI,P1Y,"Net bilateral aid flows from DAC donors, New Zealand (current US$)",0,WB_WDI,PU,1.35699996948242E7,A,Annual,Vanuatu,"Net bilateral aid flows from DAC donors, New Zealand (current US$)",Total,All age ranges or no breakdown by age,Total,US dollars,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Currency,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,VUT,WB_WDI_DC_DAC_ESPL_CD,_T,_T,_T,USD,_Z,_Z,_Z,2011,_Z,CUR,2,WB_WDI,P1Y,"Net bilateral aid flows from DAC donors, Spain (current US$)",0,WB_WDI,PU,39999.9991059303,A,Annual,Vanuatu,"Net bilateral aid flows from DAC donors, Spain (current US$)",Total,All age ranges or no breakdown by age,Total,US dollars,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Currency,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,VUT,WB_WDI_DC_DAC_TOTL_CD,_T,_T,_T,USD,_Z,_Z,_Z,2011,_Z,CUR,2,WB_WDI,P1Y,"Net bilateral aid flows from DAC donors, Total (current US$)",0,WB_WDI,PU,9.165999841503802E7,A,Annual,Vanuatu,"Net bilateral aid flows from DAC donors, Total (current US$)",Total,All age ranges or no breakdown by age,Total,US dollars,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Currency,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,VUT,WB_WDI_DC_DAC_GBRL_CD,_T,_T,_T,USD,_Z,_Z,_Z,2011,_Z,CUR,2,WB_WDI,P1Y,"Net bilateral aid flows from DAC donors, United Kingdom (current US$)",0,WB_WDI,PU,109999.999403954,A,Annual,Vanuatu,"Net bilateral aid flows from DAC donors, United Kingdom (current US$)",Total,All age ranges or no breakdown by age,Total,US dollars,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Currency,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,VUT,WB_WDI_DC_DAC_USAL_CD,_T,_T,_T,USD,_Z,_Z,_Z,2011,_Z,CUR,2,WB_WDI,P1Y,"Net bilateral aid flows from DAC donors, United States (current US$)",0,WB_WDI,PU,3000000.0,A,Annual,Vanuatu,"Net bilateral aid flows from DAC donors, United States (current US$)",Total,All age ranges or no breakdown by age,Total,US dollars,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Currency,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,VUT,WB_WDI_BN_TRF_KOGT_CD,_T,_T,_T,USD,_Z,_Z,_Z,2011,_Z,CUR,2,WB_WDI,P1Y,"Net capital account (BoP, current US$)",0,WB_WDI,PU,2.4042029762709E7,A,Annual,Vanuatu,"Net capital account (BoP, current US$)",Total,All age ranges or no breakdown by age,Total,US dollars,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Currency,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,VUT,WB_WDI_FM_AST_DOMS_CN,_T,_T,_T,XDC,_Z,_Z,_Z,2011,_Z,CUR,2,WB_WDI,P1Y,Net domestic credit (current LCU),0,WB_WDI,PU,4.7959438914E10,A,Annual,Vanuatu,Net domestic credit (current LCU),Total,All age ranges or no breakdown by age,Total,Domestic currency,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Currency,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,VUT,WB_WDI_BN_KAC_EOMS_CD,_T,_T,_T,USD,_Z,_Z,_Z,2011,_Z,CUR,2,WB_WDI,P1Y,"Net errors and omissions (BoP, current US$)",0,WB_WDI,PU,-6.3153912552879E7,A,Annual,Vanuatu,"Net errors and omissions (BoP, current US$)",Total,All age ranges or no breakdown by age,Total,US dollars,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Currency,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,VUT,WB_WDI_BN_FIN_TOTL_CD,_T,_T,_T,USD,_Z,_Z,_Z,2011,_Z,CUR,2,WB_WDI,P1Y,"Net financial account (BoP, current US$)",0,WB_WDI,PU,-1.00068652156177E8,A,Annual,Vanuatu,"Net financial account (BoP, current US$)",Total,All age ranges or no breakdown by age,Total,US dollars,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Currency,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,VUT,WB_WDI_DT_NFL_BLAT_CD,_T,_T,_T,USD,_Z,_Z,_Z,2011,_Z,CUR,2,WB_WDI,P1Y,"Net financial flows, bilateral (NFL, current US$)",0,WB_WDI,PU,3724894.4,A,Annual,Vanuatu,"Net financial flows, bilateral (NFL, current US$)",Total,All age ranges or no breakdown by age,Total,US dollars,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Currency,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,VUT,WB_WDI_DT_NFL_MIDA_CD,_T,_T,_T,USD,_Z,_Z,_Z,2011,_Z,CUR,2,WB_WDI,P1Y,"Net financial flows, IDA (NFL, current US$)",0,WB_WDI,PU,-589000.0,A,Annual,Vanuatu,"Net financial flows, IDA (NFL, current US$)",Total,All age ranges or no breakdown by age,Total,US dollars,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Currency,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,VUT,WB_WDI_DT_NFL_MLAT_CD,_T,_T,_T,USD,_Z,_Z,_Z,2011,_Z,CUR,2,WB_WDI,P1Y,"Net financial flows, multilateral (NFL, current US$)",0,WB_WDI,PU,-3003000.0,A,Annual,Vanuatu,"Net financial flows, multilateral (NFL, current US$)",Total,All age ranges or no breakdown by age,Total,US dollars,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Currency,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,VUT,WB_WDI_DT_NFL_MOTH_CD,_T,_T,_T,USD,_Z,_Z,_Z,2011,_Z,CUR,2,WB_WDI,P1Y,"Net financial flows, others (NFL, current US$)",0,WB_WDI,PU,-615355.1,A,Annual,Vanuatu,"Net financial flows, others (NFL, current US$)",Total,All age ranges or no breakdown by age,Total,US dollars,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Currency,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,VUT,WB_WDI_DT_NFL_RDBC_CD,_T,_T,_T,USD,_Z,_Z,_Z,2011,_Z,CUR,2,WB_WDI,P1Y,"Net financial flows, RDB concessional (NFL, current US$)",0,WB_WDI,PU,-1799000.0,A,Annual,Vanuatu,"Net financial flows, RDB concessional (NFL, current US$)",Total,All age ranges or no breakdown by age,Total,US dollars,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Currency,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,VUT,WB_WDI_FM_AST_NFRG_CN,_T,_T,_T,XDC,_Z,_Z,_Z,2011,_Z,CUR,2,WB_WDI,P1Y,Net foreign assets (current LCU),0,WB_WDI,PU,2.0366762094212498E10,A,Annual,Vanuatu,Net foreign assets (current LCU),Total,All age ranges or no breakdown by age,Total,Domestic currency,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Currency,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,VUT,WB_WDI_GC_LBL_TOTL_GD_ZS,_T,_T,_T,PT_GDP,_Z,_Z,_Z,2011,_Z,RATIO,2,WB_WDI,P1Y,"Net incurrence of liabilities, total (% of GDP)",0,WB_WDI,PU,1.5966910964371237,A,Annual,Vanuatu,"Net incurrence of liabilities, total (% of GDP)",Total,All age ranges or no breakdown by age,Total,Percentage of GDP,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,VUT,WB_WDI_GC_LBL_TOTL_CN,_T,_T,_T,XDC,_Z,_Z,_Z,2011,_Z,CUR,2,WB_WDI,P1Y,"Net incurrence of liabilities, total (current LCU)",0,WB_WDI,PU,1.1002E9,A,Annual,Vanuatu,"Net incurrence of liabilities, total (current LCU)",Total,All age ranges or no breakdown by age,Total,Domestic currency,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Currency,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,VUT,WB_WDI_GC_NFN_TOTL_GD_ZS,_T,_T,_T,PT_GDP,_Z,_Z,_Z,2011,_Z,RATIO,2,WB_WDI,P1Y,Net investment in nonfinancial assets (% of GDP),0,WB_WDI,PU,5.052753791451999,A,Annual,Vanuatu,Net investment in nonfinancial assets (% of GDP),Total,All age ranges or no breakdown by age,Total,Percentage of GDP,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,VUT,WB_WDI_GC_NFN_TOTL_CN,_T,_T,_T,XDC,_Z,_Z,_Z,2011,_Z,CUR,2,WB_WDI,P1Y,Net investment in nonfinancial assets (current LCU),0,WB_WDI,PU,3.4816E9,A,Annual,Vanuatu,Net investment in nonfinancial assets (current LCU),Total,All age ranges or no breakdown by age,Total,Domestic currency,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Currency,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,VUT,WB_WDI_GC_NLD_TOTL_GD_ZS,_T,_T,_T,PT_GDP,_Z,_Z,_Z,2011,_Z,RATIO,2,WB_WDI,P1Y,Net lending (+) / net borrowing (-) (% of GDP),0,WB_WDI,PU,-2.393440243813947,A,Annual,Vanuatu,Net lending (+) / net borrowing (-) (% of GDP),Total,All age ranges or no breakdown by age,Total,Percentage of GDP,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,VUT,WB_WDI_GC_NLD_TOTL_CN,_T,_T,_T,XDC,_Z,_Z,_Z,2011,_Z,CUR,2,WB_WDI,P1Y,Net lending (+) / net borrowing (-) (current LCU),0,WB_WDI,PU,-1.6492E9,A,Annual,Vanuatu,Net lending (+) / net borrowing (-) (current LCU),Total,All age ranges or no breakdown by age,Total,Domestic currency,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Currency,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,VUT,WB_WDI_SM_POP_NETM,_T,_T,_T,PS,_Z,_Z,_Z,2011,_Z,COUNT,2,WB_WDI,P1Y,Net migration,0,WB_WDI,PU,-1395.0,A,Annual,Vanuatu,Net migration,Total,All age ranges or no breakdown by age,Total,Persons,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Count (Integer),Two,World Development Indicators (WDI),Annual,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,VUT,WB_WDI_DT_ODA_ODAT_XP_ZS,_T,_T,_T,PT,_Z,_Z,_Z,2011,_Z,RATIO,2,WB_WDI,P1Y,Net ODA received (% of central government expense),0,WB_WDI,PU,53.22218411247022,A,Annual,Vanuatu,Net ODA received (% of central government expense),Total,All age ranges or no breakdown by age,Total,Percentage,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,VUT,WB_WDI_DT_ODA_ODAT_GN_ZS,_T,_T,_T,PT_GNI,_Z,_Z,_Z,2011,_Z,RATIO,2,WB_WDI,P1Y,Net ODA received (% of GNI),0,WB_WDI,PU,12.366207362263827,A,Annual,Vanuatu,Net ODA received (% of GNI),Total,All age ranges or no breakdown by age,Total,Percentage of GNI,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,VUT,WB_WDI_DT_ODA_ODAT_GI_ZS,_T,_T,_T,PT,_Z,_Z,_Z,2011,_Z,RATIO,2,WB_WDI,P1Y,Net ODA received (% of gross capital formation),0,WB_WDI,PU,41.986987230889135,A,Annual,Vanuatu,Net ODA received (% of gross capital formation),Total,All age ranges or no breakdown by age,Total,Percentage,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,VUT,WB_WDI_DT_ODA_ODAT_MP_ZS,_T,_T,_T,PT,_Z,_Z,_Z,2011,_Z,RATIO,2,WB_WDI,P1Y,"Net ODA received (% of imports of goods, services and primary income)",0,WB_WDI,PU,19.912037396845122,A,Annual,Vanuatu,"Net ODA received (% of imports of goods, services and primary income)",Total,All age ranges or no breakdown by age,Total,Percentage,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,VUT,WB_WDI_DT_ODA_ODAT_PC_ZS,_T,_T,_T,USD,_Z,_Z,_Z,2011,_Z,CUR,2,WB_WDI,P1Y,Net ODA received per capita (current US$),0,WB_WDI,PU,381.5051044115754,A,Annual,Vanuatu,Net ODA received per capita (current US$),Total,All age ranges or no breakdown by age,Total,US dollars,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Currency,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public
